Hour,Cluster_0,Cluster_2,Cluster_1
0,1.6062899820454288,3.1542535997877614,2.482767662572097
1,1.5196434107408285,3.000622251368,2.3116361402325856
2,1.4958946586201316,3.020216721725935,2.200674815590236
3,1.4949523314773263,3.1236419640306856,2.1220124667025706
4,1.5805920716645643,3.269917261441636,2.0896552107520896
5,1.848416242899402,3.5003910253340487,2.252032961033768
6,2.1497260933870552,3.8893614066556634,2.5491859694079304
7,2.2616135549853467,4.253800138871182,2.7558527231558574
8,2.313013501083347,4.283941468800869,2.9658559544129126
9,2.3595271808580027,4.0596927686239415,3.2233105381343288
10,2.390277539803516,3.8211007723334953,3.4841003819257867
11,2.4187854361715355,3.5871028029668004,3.738138688595732
12,2.370187537759557,3.4250930053342517,3.9639248912699068
13,2.32147215368708,3.1988688033949146,4.136862981446119
14,2.391064343211755,3.044346081400998,4.343211467529888
15,2.5842156938581717,3.060778605535916,4.59239978210201
16,2.88147987648731,3.3066687412734908,4.8431197029058275
17,3.1345633089633886,3.790643462314537,4.923412176315586
18,3.298793925805668,4.215746292594865,4.791277027857319
19,3.351651360859164,4.416947181964326,4.612776764491373
20,3.2358856236181053,4.411817131561772,4.40467487717424
21,2.7455705965503325,4.262404386500442,3.837013168074576
22,2.1333106150004895,3.9212062674371415,3.1577918631735056
23,1.7872675547675863,3.436586337476395,2.730985900723963
