Hour,Cluster_1,Cluster_0,Cluster_2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,8.480710626846216e-05,0.027
6,8.50456051563417e-30,0.045700550655118105,0.18
7,0.020999999879968312,0.3513163892131244,0.5349999999965183
8,0.23199999826915368,0.8617321500411019,0.917
9,0.766,1.1972634471538623,1.229
10,1.026,1.4514780486369045,1.4400000000047752
11,1.215,1.5775459363729192,1.586
12,1.2389999996219068,1.5815356999177965,1.5870000000009654
13,1.1069999998668858,1.4871342436620942,1.497
14,0.9079999999921288,1.2758303336933245,1.3200000000014451
15,0.622,1.0074554062995227,1.058
16,0.291,0.6503761286655988,0.745
17,0.001,0.25761723736348097,0.394
18,0.0,0.021650137821743142,0.12799999998942238
19,0.0,0.0,0.010999999997781514
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
